Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
38.33,0.0449,14.5097,-8.4961,0.0000,5.9687
38.50,26.9172,14.5153,2.4019,1.6667,-10.0000
38.67,0.0056,14.8476,-4.8420,0.0000,10.0000
38.83,3.4014,14.3889,-10.9876,0.0000,0.0000
39.00,18.9462,14.1570,0.0000,0.7982,-4.7892
39.17,10.0303,15.3483,-0.5288,0.0000,4.7892
39.33,11.0683,15.9778,-4.9095,0.0000,0.0000
39.50,18.2092,15.5859,0.0000,0.4372,-2.6233
39.67,17.5662,16.2915,0.0000,0.6497,-1.2747
39.83,0.0315,15.3316,-11.4021,0.0000,3.8981
40.00,18.8647,16.3880,0.0000,0.4128,-2.4767
40.17,10.8596,17.1998,-3.8636,0.0000,2.4767
40.33,22.0063,17.3845,0.0000,0.7703,-4.6219
40.50,8.1210,16.9594,-4.2165,0.0000,4.6219
40.67,17.4446,16.5095,0.0000,0.1558,-0.9351
40.83,9.2838,18.0295,-7.8106,0.0000,0.9351
41.00,16.6100,16.8250,-0.2150,0.0000,0.0000
41.17,0.0408,17.5460,-17.5053,0.0000,0.0000
41.33,24.4397,17.2681,0.0000,1.1953,-7.1717
41.50,11.4929,18.1636,0.0000,0.0835,6.6707
41.67,0.0311,17.6607,-17.1286,0.0000,0.5010
41.83,18.6418,17.8549,0.0000,0.1312,-0.7870
42.00,0.0049,19.0938,-18.3019,0.0000,0.7870
42.17,2.9363,18.9879,-16.0516,0.0000,0.0000
42.33,11.6135,18.1880,-6.5745,0.0000,0.0000
42.50,7.2813,18.4789,-11.1976,0.0000,0.0000
42.67,19.2639,19.1588,0.0000,0.0175,-0.1051
42.83,17.1418,19.9773,-2.7304,0.0000,0.1051
43.00,15.8845,18.6142,-2.7297,0.0000,0.0000
43.17,11.4032,18.4697,-7.0665,0.0000,0.0000
43.33,27.2175,19.9377,0.0000,1.2133,-7.2798
43.50,5.1567,18.9515,-6.5150,0.0000,7.2798
43.67,21.5509,18.9035,0.0000,0.4412,-2.6474
43.83,14.4927,18.9346,-1.7945,0.0000,2.6474
44.00,0.0071,19.7054,-19.6982,0.0000,0.0000
44.17,4.2781,18.9833,-14.7052,0.0000,0.0000
44.33,0.0083,20.8796,-20.8713,0.0000,0.0000
44.50,4.9663,19.0404,-14.0741,0.0000,0.0000
44.67,13.4733,19.9672,-6.4939,0.0000,0.0000
44.83,16.5581,19.5352,-2.9771,0.0000,0.0000
45.00,14.4420,19.1580,-4.7160,0.0000,0.0000
45.17,26.5382,19.4944,0.0000,1.1740,-7.0437
45.33,0.0092,20.0757,-13.0227,0.0000,7.0437
45.50,5.5034,19.0895,-13.5861,0.0000,0.0000
45.67,0.0376,19.7407,-19.7032,0.0000,0.0000
45.83,22.5391,20.7721,0.0000,0.2945,-1.7670
46.00,22.1295,19.8393,0.0000,0.6762,-2.2902
46.17,0.0201,19.4233,-15.3460,0.0000,4.0572
46.33,12.0700,20.6384,-8.5684,0.0000,0.0000
46.50,13.5415,19.7381,-6.1966,0.0000,0.0000
46.67,17.0001,18.9932,-1.9931,0.0000,0.0000
46.83,0.0233,19.5411,-19.5179,0.0000,0.0000
47.00,13.9497,19.3751,-5.4254,0.0000,0.0000
47.17,0.0433,19.4328,-19.3894,0.0000,0.0000
47.33,25.9795,18.9202,0.0000,1.1765,-7.0593
47.50,11.3684,18.6505,-0.2229,0.0000,7.0593
47.67,11.2648,19.3037,-8.0390,0.0000,0.0000
47.83,26.8062,18.0362,0.0000,1.4617,-8.7701
48.00,22.6039,19.3375,0.0000,2.0061,-3.2664
48.17,19.2197,18.2783,0.0000,2.1630,-0.9414
48.33,6.8153,18.3588,-1.5435,0.4963,10.0000
48.50,0.0118,17.3501,-14.3605,0.0000,2.9778
48.67,7.0625,17.7003,-10.6378,0.0000,0.0000
48.83,0.0365,17.3501,-17.3136,0.0000,0.0000
49.00,21.8994,17.4343,0.0000,0.7442,-4.4651
49.17,9.5192,17.3128,-3.3285,0.0000,4.4651
49.33,23.1063,16.7000,0.0000,1.0677,-6.4064
49.50,0.0156,17.5822,-11.1602,0.0000,6.4064
49.67,9.3950,16.3552,-6.9601,0.0000,0.0000
49.83,13.6250,16.9902,-3.3652,0.0000,0.0000
50.00,7.6247,15.6199,-7.9952,0.0000,0.0000
50.17,22.6371,16.4677,0.0000,1.0282,-6.1693
50.33,10.9629,16.5078,0.0000,0.1041,5.5448
50.50,16.0827,15.6899,0.0000,0.1695,-0.3928
50.67,18.1981,15.5926,0.0000,0.6038,-2.6055
50.83,14.9696,14.8950,0.0000,0.6162,-0.0747
51.00,10.0393,15.4012,-1.6644,0.0000,3.6974
51.17,20.4626,14.6176,0.0000,0.9742,-5.8450
51.33,4.9513,15.1543,-4.3580,0.0000,5.8450
51.50,16.0742,13.8340,0.0000,0.3734,-2.2402
51.67,15.1903,14.6035,0.0000,0.4712,-0.5868
51.83,4.0428,14.3593,-7.4896,0.0000,2.8269
52.00,12.6430,13.5971,-0.9541,0.0000,0.0000
52.17,3.2265,13.3777,-10.1512,0.0000,0.0000
52.33,21.2694,12.7390,0.0000,1.4217,-8.5304
52.50,5.1017,12.9278,0.0000,0.1174,7.8261
52.67,0.0000,12.5615,-11.8572,0.0000,0.7043
52.83,0.0450,13.0926,-13.0476,0.0000,0.0000
53.00,26.9765,12.9816,3.9949,1.6667,-10.0000
53.17,6.1918,12.9552,0.0000,0.5394,6.7633
53.33,5.7654,11.7380,-2.7359,0.0000,3.2367
53.50,24.7445,12.1930,2.5514,1.6667,-10.0000
53.67,0.0097,11.7814,-1.7717,0.0000,10.0000
53.83,5.8295,11.4853,-5.6558,0.0000,0.0000
54.00,12.9943,11.1323,0.0000,0.3103,-1.8620
54.17,28.3552,11.4440,6.9112,1.9770,-10.0000
54.33,7.9866,11.7813,0.0000,1.3445,3.7947
54.50,0.0475,10.8174,-2.7025,0.0000,8.0673
54.67,28.5075,11.2896,7.2179,1.6667,-10.0000
54.83,20.3865,10.9177,0.0000,3.2448,-9.4688
55.00,21.3192,10.3493,0.9699,4.9115,-10.0000
55.17,24.4794,10.7995,3.6799,6.5781,-10.0000
55.33,9.8234,10.8896,0.0000,6.4004,1.0663
55.50,22.2616,10.8621,1.3995,8.0671,-10.0000
55.67,4.3891,10.6132,0.0000,7.0297,6.2242
55.83,0.0222,10.7483,-0.7261,5.3631,10.0000
56.00,13.3535,9.7749,0.0000,5.9595,-3.5786
56.17,29.1551,9.8663,9.2888,7.6262,-10.0000
56.33,25.5774,10.4169,5.1606,9.2928,-10.0000
56.50,9.0671,9.6331,0.0000,9.1985,0.5660
56.67,18.8587,9.9471,0.0000,10.6838,-8.9116
56.83,22.7997,10.4076,2.3921,12.3504,-10.0000
57.00,15.8108,10.3918,0.0000,13.2536,-5.4190
57.17,22.4440,9.8301,2.6139,14.9203,-10.0000
57.33,7.0482,9.6248,0.0000,14.4908,2.5766
57.50,0.0294,10.3981,-0.3687,12.8242,10.0000
57.67,17.6051,10.1048,0.0000,14.0742,-7.5003
57.83,0.0490,9.9977,0.0000,12.4161,9.9486
58.00,29.3927,10.1836,9.2092,14.0828,-10.0000
58.17,14.8470,10.0490,0.0000,14.8824,-4.7979
58.33,11.7962,10.4901,0.0000,15.1001,-1.3062
58.50,9.9662,10.1105,0.0000,15.0761,0.1443
58.67,0.0367,10.8483,-0.8116,13.4094,10.0000
58.83,22.0391,10.7716,1.2675,15.0761,-10.0000
59.00,21.8644,10.7498,1.1146,16.7427,-10.0000
59.17,8.0046,10.8585,0.0000,16.2671,2.8539
59.33,0.0000,11.1148,-1.1148,14.6004,10.0000
59.50,0.0216,10.7810,-0.7594,12.9338,10.0000
59.67,12.9724,10.8094,0.0000,13.2942,-2.1629
59.83,17.3195,11.2546,0.0000,14.3051,-6.0649
60.00,17.5661,11.2735,0.0000,15.3538,-6.2926
60.17,0.0296,12.1044,-2.0748,13.6872,10.0000
60.33,17.7747,12.0979,0.0000,14.6333,-5.6767
60.50,14.5889,12.3099,0.0000,15.0131,-2.2790
60.67,14.5573,11.7402,0.0000,15.4826,-2.8170
60.83,5.1154,12.2131,0.0000,14.2997,7.0977
61.00,30.5997,12.6472,7.3528,15.9663,-10.0000
61.17,0.0437,12.6900,-2.6463,14.2997,10.0000
61.33,26.1874,12.2796,3.9078,15.9663,-10.0000
61.50,2.5543,13.1508,-0.5965,14.2997,10.0000
