Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
63.00,3.1810,14.9059,-1.7249,4.6839,10.0000
63.17,11.1196,15.7026,0.0000,3.9200,4.5830
63.33,17.6318,15.6129,0.0000,4.2565,-2.0188
63.50,19.6820,15.9454,0.0000,4.8793,-3.7366
63.67,0.0142,16.3109,-6.2966,3.2126,10.0000
63.83,8.5397,15.4454,0.0000,2.0616,6.9058
64.00,7.5516,16.0358,0.0000,0.6476,8.4842
64.17,29.3914,16.7141,2.6773,2.3143,-10.0000
64.33,9.6109,16.7503,0.0000,1.1244,7.1394
64.50,9.4534,17.4771,-1.2774,0.0000,6.7462
64.67,27.6847,17.4186,0.2660,1.6667,-10.0000
64.83,9.8661,16.6302,0.0000,0.5393,6.7641
65.00,12.9383,17.8293,-1.6551,0.0000,3.2359
65.17,12.2896,18.1292,-5.8395,0.0000,0.0000
65.33,17.0006,17.9592,-0.9586,0.0000,0.0000
65.50,11.9333,18.1169,-6.1836,0.0000,0.0000
65.67,0.0421,17.2806,-17.2385,0.0000,0.0000
65.83,25.2406,18.0258,0.0000,1.2025,-7.2148
66.00,18.9935,18.2111,0.0000,1.3329,-0.7824
66.17,17.2173,17.9504,0.0000,1.2107,0.7331
66.33,0.0000,18.9501,-11.6860,0.0000,7.2641
66.50,0.0482,19.0569,-19.0087,0.0000,0.0000
66.67,28.9290,19.7848,0.0000,1.5240,-9.1441
66.83,26.1519,19.6185,0.0000,2.6129,-6.5335
67.00,13.8910,19.6667,0.0000,1.6503,5.7756
67.17,13.1549,18.9760,0.0000,0.6801,5.8211
67.33,6.4724,19.8674,-9.3142,0.0000,4.0809
67.50,10.4196,19.9881,-9.5685,0.0000,0.0000
67.67,16.9546,19.2093,-2.2547,0.0000,0.0000
67.83,14.5399,19.4830,-4.9432,0.0000,0.0000
68.00,16.9449,19.7109,-2.7660,0.0000,0.0000
68.17,9.1230,19.5213,-10.3983,0.0000,0.0000
68.33,17.6894,20.8440,-3.1546,0.0000,0.0000
68.50,23.2521,20.5770,0.0000,0.4458,-2.6750
68.67,6.8779,20.4327,-10.8797,0.0000,2.6750
68.83,7.3177,20.6961,-13.3784,0.0000,0.0000
69.00,10.5816,20.5094,-9.9279,0.0000,0.0000
69.17,0.0119,19.3848,-19.3729,0.0000,0.0000
69.33,7.1389,19.2115,-12.0726,0.0000,0.0000
69.50,4.8650,19.3417,-14.4766,0.0000,0.0000
69.67,5.4892,19.7724,-14.2832,0.0000,0.0000
69.83,14.9330,19.0200,-4.0870,0.0000,0.0000
70.00,0.0352,20.0066,-19.9714,0.0000,0.0000
70.17,21.1030,20.5739,0.0000,0.0882,-0.5291
70.33,3.4175,19.1838,-15.2373,0.0000,0.5291
70.50,11.2396,19.0877,-7.8481,0.0000,0.0000
70.67,6.4484,19.3630,-12.9146,0.0000,0.0000
70.83,0.0054,19.8002,-19.7947,0.0000,0.0000
71.00,3.2684,18.6673,-15.3989,0.0000,0.0000
71.17,8.5459,18.6541,-10.1082,0.0000,0.0000
71.33,8.4544,18.7392,-10.2848,0.0000,0.0000
71.50,18.9659,19.8241,-0.8582,0.0000,0.0000
71.67,3.9875,19.1310,-15.1435,0.0000,0.0000
71.83,9.5793,19.3972,-9.8179,0.0000,0.0000
72.00,16.7651,18.0154,-1.2503,0.0000,0.0000
72.17,6.4509,18.7796,-12.3288,0.0000,0.0000
72.33,11.9496,18.6276,-6.6780,0.0000,0.0000
72.50,29.6169,18.3036,1.3133,1.6667,-10.0000
72.67,0.0075,17.6420,-7.6345,0.0000,10.0000
72.83,4.5215,17.5724,-13.0509,0.0000,0.0000
73.00,0.0193,18.4012,-18.3819,0.0000,0.0000
73.17,11.5415,16.5365,-4.9950,0.0000,0.0000
73.33,3.2589,16.3568,-13.0979,0.0000,0.0000
73.50,21.4436,17.5814,0.0000,0.6437,-3.8622
73.67,7.1623,17.0784,-6.0538,0.0000,3.8622
73.83,0.0442,16.2013,-16.1570,0.0000,0.0000
74.00,26.5414,16.7251,0.0000,1.6360,-9.8163
74.17,24.9974,16.7037,0.0000,3.0183,-8.2938
74.33,3.4508,15.4179,-1.9671,1.3517,10.0000
74.50,4.7472,15.7029,-2.8457,0.0000,8.1100
74.67,0.0075,16.2310,-16.2235,0.0000,0.0000
74.83,4.5294,15.6621,-11.1328,0.0000,0.0000
75.00,15.5793,15.6779,-0.0986,0.0000,0.0000
75.17,25.0512,14.2417,0.8095,1.6667,-10.0000
75.33,0.0000,14.8771,-4.8771,0.0000,10.0000
75.50,0.0000,14.6573,-14.6573,0.0000,0.0000
75.67,0.0000,14.3055,-14.3055,0.0000,0.0000
75.83,0.0075,13.8070,-13.7995,0.0000,0.0000
76.00,4.4991,13.3436,-8.8445,0.0000,0.0000
76.17,13.1279,13.2894,-0.1615,0.0000,0.0000
76.33,25.6869,12.9731,2.7138,1.6667,-10.0000
76.50,28.8581,13.1090,5.7491,3.3333,-10.0000
76.67,10.8774,13.5980,0.0000,2.8799,2.7206
